,geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,countrycode,cc2,admin1code,admin2code,population,elevation,dem,timezone,modificationdate
16,2760132,Aalsmeerderbrug,Aalsmeerderbrug,,52.27417,4.75,P,PPL,NL,,7.0,394.0,505,,-2,Europe/Amsterdam,2017-10-17
17,2760131,Aalst,Aalst,,51.7825,5.12778,P,PPL,NL,,3.0,297.0,1580,,3,Europe/Amsterdam,2017-10-17
18,2760130,Aalst,Aalst,,51.935,5.54028,P,PPL,NL,,3.0,214.0,0,,7,Europe/Amsterdam,2007-06-03
19,2760124,Aalsum,Aalsum,"Aalsum,Ealsum",53.3075,6.36944,P,PPL,NL,,4.0,1969.0,0,,0,Europe/Amsterdam,2019-01-20
20,2760123,Aalten,Aalten,Aalten,51.925,6.58056,P,PPL,NL,,3.0,197.0,19141,,27,Europe/Amsterdam,2017-10-17
21,2760121,Aalzum,Aalzum,"Aalsum,Aalzum,Ealsum",53.33923,6.00334,P,PPL,NL,,2.0,1970.0,0,,0,Europe/Amsterdam,2019-01-20
22,2760119,Aam,Aam,,51.915,5.86667,P,PPL,NL,,3.0,1734.0,0,,8,Europe/Amsterdam,2007-06-03
23,2760107,Aan Reijans,Aan Reijans,,51.04917,5.92917,P,PPL,NL,,5.0,1711.0,0,,60,Europe/Amsterdam,2007-06-03
24,2760114,Aan de Bergen,Aan de Bergen,,51.26583,5.87778,P,PPL,NL,,5.0,1640.0,0,,29,Europe/Amsterdam,2007-06-03
25,2760112,Aan de Popelaar,Aan de Popelaar,"Aan de Popelaar,Aandepoppelaar",51.05499,5.94148,P,PPL,NL,,5.0,1711.0,0,,58,Europe/Amsterdam,2012-01-17
26,2760111,Aan de School,Aan de School,,51.06223,5.96718,P,PPL,NL,,5.0,1711.0,0,,58,Europe/Amsterdam,2011-06-04
27,2760110,Aan de Zuwe,Aan de Zuwe,,52.1725,4.90139,P,PPL,NL,,9.0,736.0,0,,-2,Europe/Amsterdam,2007-06-03
28,2760108,Aan het Broek,Aan het Broek,,51.13333,6.08333,P,PPL,NL,,5.0,1669.0,0,,28,Europe/Amsterdam,2011-06-04
29,2760101,Aardam,Aardam,Aardam,52.16667,4.76667,P,PPL,NL,,11.0,569.0,0,,-7,Europe/Amsterdam,2012-05-05
30,2760096,Aardenburg,Aardenburg,"Aarntenmpournk,Erreburg,ardnbrg,Άαρντενμπουργκ,آردنبرگ,آرڈنبرگ",51.27333,3.44722,P,PPL,NL,,10.0,1714.0,2005,,4,Europe/Amsterdam,2017-10-17
31,2760092,Aarlanderveen,Aarlanderveen,,52.14083,4.72778,P,PPL,NL,,11.0,484.0,0,,-2,Europe/Amsterdam,2017-10-17
32,2760090,Aarle,Aarle,,51.5125,5.3625,P,PPL,NL,,6.0,753.0,0,,16,Europe/Amsterdam,2007-06-03
33,2760089,Aarle,Aarle,,51.5096,5.63221,P,PPL,NL,,6.0,1659.0,0,,18,Europe/Amsterdam,2009-01-02
34,6698718,Aarle-Rixtel,Aarle-Rixtel,"arl-rykstl,آرل-ریکستل,آرلے ریکسٹل",51.50976,5.63839,P,PPL,NL,,6.0,1659.0,5125,,19,Europe/Amsterdam,2017-10-17
35,2760085,Aartswoud,Aartswoud,"Aardswoud,Aartwoud",52.74333,4.94861,P,PPL,NL,,7.0,432.0,490,,-1,Europe/Amsterdam,2017-10-17
36,2760083,Aasterberg,Aasterberg,,51.10167,5.84167,P,PPL,NL,,5.0,1711.0,35,,27,Europe/Amsterdam,2017-03-24
37,2760080,Abbega,Abbega,,53.01829,5.57024,P,PPL,NL,,2.0,1900.0,110,,0,Europe/Amsterdam,2017-10-17
38,2760079,Abbegaasterketting,Abbegaasterketting,Abbegaasterketting,53.0241,5.56299,P,PPL,NL,,2.0,1900.0,0,,0,Europe/Amsterdam,2018-07-04
39,2760078,Abbekerk,Abbekerk,,52.73167,5.01806,P,PPL,NL,,7.0,420.0,2110,,1,Europe/Amsterdam,2017-10-17
40,2760076,Abbekinderen,Abbekinderen,,51.48167,3.91944,P,PPL,NL,,10.0,678.0,0,,-1,Europe/Amsterdam,2007-06-03
41,2760075,Abbenbroek,Abbenbroek,,51.84833,4.24306,P,PPL,NL,,11.0,1930.0,0,,-1,Europe/Amsterdam,2017-10-17
42,2760073,Abbenes,Abbenes,,52.235,4.59167,P,PPL,NL,,7.0,394.0,855,,-3,Europe/Amsterdam,2017-10-17
43,2760072,Abbenwier,Abbenwier,"Abbengawier,Abbenwier,Abbeweer,Abbingawier",53.0636,5.79031,P,PPL,NL,,2.0,80.0,0,,-1,Europe/Amsterdam,2015-06-14
44,2760071,Abbestede,Abbestede,,52.85083,4.71667,P,PPL,NL,,7.0,441.0,0,,1,Europe/Amsterdam,2013-06-09
45,2760069,Abbewier,Abbewier,"Abbewier,Jewier",53.38333,6.15,P,PPL,NL,,2.0,1970.0,0,,-1,Europe/Amsterdam,2019-01-20
46,2760067,Abcoude,Abcoude,"Abcoude,Abkoude,a bu kao de,abkad,abkawdh,أبكاوده,ابکاد,阿布考德",52.2725,4.96944,P,PPL,NL,,9.0,736.0,6920,,1,Europe/Amsterdam,2017-10-17
47,2760064,Abcoven,Abcoven,,51.5275,5.08333,P,PPL,NL,,6.0,785.0,1325,,12,Europe/Amsterdam,2017-03-24
48,2760060,Absdale,Absdale,Abtsdale,51.2675,4.00417,P,PPL,NL,,10.0,677.0,145,,4,Europe/Amsterdam,2017-03-24
49,2760058,Abshoven,Abshoven,,50.96917,5.85139,P,PPL,NL,,5.0,1883.0,0,,56,Europe/Amsterdam,2007-06-03
50,2760055,Abtswoude,Abtswoude,Abswoude,51.97917,4.35556,P,PPL,NL,,11.0,503.0,25,,-1,Europe/Amsterdam,2017-03-24
51,2760053,Achlum,Achlum,Achlum,53.14925,5.48346,P,PPL,NL,,2.0,1949.0,525,,1,Europe/Amsterdam,2019-01-20
52,2760050,Acht,Acht,,51.48,5.42917,P,PPL,NL,,6.0,772.0,0,,20,Europe/Amsterdam,2007-06-03
53,2760041,Achter de Vree,Achter de Vree,,52.43333,5.95,P,PPL,NL,,3.0,269.0,0,,14,Europe/Amsterdam,2011-06-04
54,2760028,Achter het Klooster,Achter het Klooster,,51.2575,5.87917,P,PPL,NL,,5.0,1640.0,0,,29,Europe/Amsterdam,2007-06-03
55,2760019,Achter-Lindt,Achter-Lindt,,51.81917,4.58194,P,PPL,NL,,11.0,642.0,0,,-1,Europe/Amsterdam,2007-06-03
56,2759998,Achter-Thesinge,Achter-Thesinge,,53.28167,6.65694,P,PPL,NL,,4.0,14.0,0,,-2,Europe/Amsterdam,2019-01-20
57,2760049,Achterberg,Achterberg,,51.9725,5.5875,P,PPL,NL,,9.0,340.0,750,,11,Europe/Amsterdam,2017-03-24
58,2760047,Achterbos,Achterbos,Achterbosch,52.225,4.92639,P,PPL,NL,,9.0,736.0,0,,-2,Europe/Amsterdam,2007-06-03
59,2760046,Achterbosch,Achterbosch,,51.40917,5.77778,P,PPL,NL,,6.0,743.0,0,,25,Europe/Amsterdam,2007-06-03
60,2760045,Achterbosch,Achterbosch,,51.51083,5.57222,P,PPL,NL,,6.0,1659.0,0,,16,Europe/Amsterdam,2007-06-03
61,2760044,Achterbroek,Achterbroek,,51.42917,5.68611,P,PPL,NL,,6.0,847.0,0,,24,Europe/Amsterdam,2007-06-03
62,2760043,Achterbroek,Achterbroek,Terbroek,51.9675,4.69861,P,PPL,NL,,11.0,1931.0,280,,-1,Europe/Amsterdam,2021-09-09
63,2760038,Achterdijk,Achterdijk,,51.65667,4.61944,P,PPL,NL,,6.0,1709.0,0,,1,Europe/Amsterdam,2007-06-03
64,2760037,Achterdijk,Achterdijk,,51.89167,5.03889,P,PPL,NL,,9.0,1961.0,200,,-1,Europe/Amsterdam,2019-01-20
65,2760035,Achterdrempt,Achterdrempt,,52.02333,6.18333,P,PPL,NL,,3.0,1876.0,325,,11,Europe/Amsterdam,2017-03-24
66,2760033,Achtereind,Achtereind,,51.3825,5.49028,P,PPL,NL,,6.0,866.0,0,,20,Europe/Amsterdam,2007-06-03
67,2760025,Achterhoek,Achterhoek,,52.21917,5.40833,P,PPL,NL,,3.0,267.0,0,,-1,Europe/Amsterdam,2007-06-03
68,2760024,Achterhoek,Achterhoek,,52.24833,6.48611,P,PPL,NL,,15.0,1735.0,0,,17,Europe/Amsterdam,2007-06-03
69,2760014,Achtersloot,Achtersloot,,52.03523,5.02277,P,PPL,NL,,9.0,353.0,0,,1,Europe/Amsterdam,2009-10-09
70,2760013,Achterste Brug,Achterste Brug,,51.28,5.42917,P,PPL,NL,,6.0,858.0,0,,33,Europe/Amsterdam,2007-06-03
71,2760011,Achterste Diesdonk,Achterste Diesdonk,,51.42917,5.7125,P,PPL,NL,,6.0,743.0,0,,23,Europe/Amsterdam,2007-06-03
72,2760010,Achterste Erm,Achterste Erm,,52.74333,6.825,P,PPL,NL,,1.0,109.0,70,,18,Europe/Amsterdam,2017-03-24
73,2760009,Achterste Heide,Achterste Heide,,51.75917,5.57917,P,PPL,NL,,6.0,828.0,0,,11,Europe/Amsterdam,2007-06-03
74,2760008,Achterste Heikant,Achterste Heikant,,51.34833,5.14028,P,PPL,NL,,6.0,1667.0,0,,31,Europe/Amsterdam,2007-06-03
75,2760007,Achterste Hermalen,Achterste Hermalen,,51.60417,5.40417,P,PPL,NL,,6.0,1948.0,0,,8,Europe/Amsterdam,2017-08-16
76,2760002,Achterste Rith,Achterste Rith,,51.555,4.71389,P,PPL,NL,,6.0,758.0,0,,5,Europe/Amsterdam,2007-06-03
77,2760006,Achterstehoek,Achterstehoek,,51.95,6.01667,P,PPL,NL,,3.0,226.0,0,,10,Europe/Amsterdam,2009-01-13
78,2759995,Achterveld,Achterveld,,52.13583,5.49722,P,PPL,NL,,9.0,327.0,0,,7,Europe/Amsterdam,2017-10-17
79,2759992,Achterwetering,Achterwetering,,52.15167,5.15278,P,PPL,NL,,9.0,310.0,70,,2,Europe/Amsterdam,2017-03-24
80,2759987,Achthoven,Achthoven,,51.96833,4.99306,P,PPL,NL,,9.0,1961.0,220,,0,Europe/Amsterdam,2019-01-20
81,2759986,Achthoven,Achthoven,,52.05667,4.99028,P,PPL,NL,,9.0,335.0,0,,1,Europe/Amsterdam,2007-06-03
82,2759985,Achthoven,Achthoven,,52.13582,4.55696,P,PPL,NL,,11.0,547.0,0,,0,Europe/Amsterdam,2011-04-19
83,2759983,Achthuizen,Achthuizen,,51.68833,4.27917,P,PPL,NL,,11.0,1924.0,0,,0,Europe/Amsterdam,2017-10-17
84,2759981,Achtmaal,Achtmaal,,51.45417,4.58472,P,PPL,NL,,6.0,879.0,635,,13,Europe/Amsterdam,2017-10-17
85,2759980,Achtsehoek,Achtsehoek,,51.46667,5.4,P,PPL,NL,,6.0,772.0,0,,21,Europe/Amsterdam,2011-06-04
86,2759977,Achttienhoven,Achttienhoven,Maarssen,52.14833,5.13889,P,PPL,NL,,9.0,310.0,0,,0,Europe/Amsterdam,2007-06-03
87,2759978,Achttienhoven,Achttienhoven,,52.14667,4.85694,P,PPL,NL,,11.0,569.0,130,,-1,Europe/Amsterdam,2017-03-24
88,2759975,Acquoy,Acquoy,"Ackooi,Ackooy,Acquoij,Akkooi",51.87917,5.13611,P,PPL,NL,,3.0,1960.0,365,,3,Europe/Amsterdam,2019-01-20
89,2759967,Adorp,Adorp,,53.275,6.53333,P,PPL,NL,,4.0,1966.0,515,,2,Europe/Amsterdam,2019-01-20
90,2759961,Aduard,Aduard,"Adeward,Adewardervoorwerk,Aduard",53.25667,6.45972,P,PPL,NL,,4.0,1969.0,2030,,3,Europe/Amsterdam,2023-03-07
91,2759958,Aduardervoorwerk,Aduardervoorwerk,,53.26139,6.47461,P,PPL,NL,,4.0,1969.0,0,,-1,Europe/Amsterdam,2019-01-20
92,2759957,Aduarderzijl,Aduarderzijl,,53.31833,6.46806,P,PPL,NL,,4.0,1969.0,0,,1,Europe/Amsterdam,2021-07-06
93,2759954,Aekinga,Aekinga,"Aekinga,Aekinge",52.95195,6.32628,P,PPL,NL,,2.0,85.0,0,,10,Europe/Amsterdam,2018-12-08
94,12489843,Aengwirden,Aengwirden,,53.0,5.9167,P,PPL,NL,,2.0,74.0,0,,-2,Europe/Amsterdam,2022-06-17
95,6544770,Aerdenburg,Aerdenburg,,51.895,6.075,P,PPL,NL,,3.0,299.0,0,,12,Europe/Amsterdam,2019-01-20
96,2759951,Aerdenhout,Aerdenhout,Aardenhout,52.36167,4.59722,P,PPL,NL,,7.0,377.0,0,,9,Europe/Amsterdam,2017-10-17
97,2759950,Aerdt,Aerdt,"Aard,Aardt",51.89417,6.08472,P,PPL,NL,,3.0,299.0,540,,13,Europe/Amsterdam,2019-01-20
98,2759946,Afferden,Afferden,Afferden L,51.63417,6.01111,P,PPL,NL,,5.0,893.0,0,,15,Europe/Amsterdam,2017-10-17
99,2759945,Afferden,Afferden,,51.88,5.63472,P,PPL,NL,,3.0,225.0,1405,,7,Europe/Amsterdam,2017-10-17
100,2759941,Afhang,Afhang,,51.45,6.05,P,PPL,NL,,5.0,1507.0,0,,26,Europe/Amsterdam,2011-06-04
101,2759940,Afsched,Afsched,,52.6,6.01667,P,PPL,NL,,15.0,1896.0,0,,-1,Europe/Amsterdam,2011-06-04
102,2759933,Agodorp,Agodorp,,52.87167,7.08333,P,PPL,NL,,4.0,1950.0,0,,11,Europe/Amsterdam,2019-01-20
103,2759932,Aijen,Aijen,"Aaien,Aaijen,Aijn,Ayen",51.58417,6.04167,P,PPL,NL,,5.0,893.0,0,,16,Europe/Amsterdam,2007-06-03
104,2759931,Akersloot,Akersloot,,52.56083,4.73333,P,PPL,NL,,7.0,383.0,0,,1,Europe/Amsterdam,2017-10-17
105,2759927,Akker,Akker,,51.50917,4.38472,P,PPL,NL,,6.0,1674.0,0,,8,Europe/Amsterdam,2007-06-03
106,2759925,Akkerput,Akkerput,,51.35,3.46528,P,PPL,NL,,10.0,1714.0,0,,0,Europe/Amsterdam,2007-06-03
107,2759924,Akkerwoude,Akkerwoude,"Akkerwoude,Ikkerwald,Ikkerwâld",53.28333,5.98333,P,PPL,NL,,2.0,1891.0,0,,-2,Europe/Amsterdam,2012-01-17
108,2759922,Akkrum,Akkrum,"Akkrum,Ankrum,akram,اکرام",53.05024,5.83087,P,PPL,NL,,2.0,74.0,3440,,0,Europe/Amsterdam,2017-10-17
109,2759921,Akmarijp,Akmarijp,"Akmarijp,Eagmaryp",53.00332,5.78894,P,PPL,NL,,2.0,1940.0,115,,-2,Europe/Amsterdam,2017-10-17
110,2759919,Albergen,Albergen,,52.37083,6.7625,P,PPL,NL,,15.0,183.0,0,,20,Europe/Amsterdam,2017-10-17
111,2759915,Alblasserdam,Alblasserdam,"Alblaserdam,Alblasserdam,a er bu la se dan,alblasrdam,Алблассердам,Ալբլասերդամ,ألبلاسردام,البلاسردام,阿尔布拉瑟丹",51.86583,4.66111,P,PPL,NL,,11.0,482.0,18348,,0,Europe/Amsterdam,2018-09-06
112,2749074,Alde Leie,Alde Leie,"Alde Leie,De Leije,Leie,Leije,Oude Leie,Oude Leije,Oude Leye",53.28882,5.72748,P,PPL,NL,,2.0,80.0,0,,0,Europe/Amsterdam,2019-01-20
113,2749669,Aldeboarn,Aldeboarn,"Aldeboarn,Oldeboorn",53.05,5.9,P,PPL,NL,,2.0,74.0,1525,,-1,Europe/Amsterdam,2017-10-17
114,2749006,Aldskou,Aldskou,"Aldskou,Oude Schouw",53.06603,5.80894,P,PPL,NL,,2.0,74.0,0,,0,Europe/Amsterdam,2015-06-14
115,2748941,Aldtsjerk,Aldtsjerk,"Aldtsjerk,Oudkerk",53.26637,5.88704,P,PPL,NL,,2.0,737.0,520,,0,Europe/Amsterdam,2017-10-17
116,2759906,Alem,Alem,,51.78667,5.34306,P,PPL,NL,,3.0,263.0,550,,6,Europe/Amsterdam,2017-10-17
117,2759902,Alinghuizen,Alinghuizen,,53.3125,6.50139,P,PPL,NL,,4.0,1966.0,0,,0,Europe/Amsterdam,2019-01-20
118,2759899,Alkmaar,Alkmaar,"Alkmaar,Alkmaer,Alkmar,Alkmaras,a er ke ma er,alkeumaleu,alkmar,arukumaru,Άλκμααρ,Алкмаар,Алкмар,Ալկմար,אלקמאר,آلکمار,ألكمار,ئەڵکمار,アルクマール,阿尔克马尔,알크마르",52.63167,4.74861,P,PPL,NL,,7.0,361.0,94853,,5,Europe/Amsterdam,2017-10-17
119,2759896,Allardsoog,Allardsoog,"Allartsoog,Allerdsoog",53.09454,6.29208,P,PPL,NL,,2.0,86.0,0,,11,Europe/Amsterdam,2008-01-14
120,2759892,Allersma,Allersma,,53.31833,6.45417,P,PPL,NL,,4.0,1969.0,0,,3,Europe/Amsterdam,2021-07-06
121,2759891,Allingawier,Allingawier,Allingaweer,53.0472,5.44484,P,PPL,NL,,2.0,1900.0,70,,2,Europe/Amsterdam,2017-10-17
122,2759887,Almelo,Almelo,"Almelo,Almeloo,QYL,Алмело",52.35667,6.6625,P,PPL,NL,,15.0,141.0,72725,,15,Europe/Amsterdam,2017-10-17
123,2759884,Almen,Almen,,52.15833,6.3,P,PPL,NL,,3.0,262.0,710,,11,Europe/Amsterdam,2017-10-17
124,2759881,Almere Buiten,Almere Buiten,,52.395,5.27639,P,PPL,NL,,16.0,34.0,0,,-2,Europe/Amsterdam,2014-02-08
125,2759880,Almere Haven,Almere Haven,,52.33576,5.21919,P,PPL,NL,,16.0,34.0,0,,-1,Europe/Amsterdam,2014-02-08
126,9072713,Almere Poort,Almere Poort,,52.34819,5.1543,P,PPL,NL,,16.0,34.0,0,,-3,Europe/Amsterdam,2014-06-04
127,2759879,Almere Stad,Almere Stad,Almere,52.37025,5.21413,P,PPL,NL,,16.0,34.0,176432,,-3,Europe/Amsterdam,2017-10-17
128,2759878,Almkerk,Almkerk,"almkrk,المکرک",51.77083,4.95972,P,PPL,NL,,6.0,1959.0,2715,,3,Europe/Amsterdam,2019-01-20
129,2759876,Alphen,Alphen,"Alfen,Alphen aan de Maas",51.8225,5.47083,P,PPL,NL,,3.0,668.0,0,,5,Europe/Amsterdam,2017-10-17
130,2759877,Alphen,Alphen,"Alfen,alfn  shmal brabant,الفن، شمال برابانت",51.48167,4.95833,P,PPL,NL,,6.0,1723.0,3160,,23,Europe/Amsterdam,2017-10-17
131,2759875,Alphen aan den Rijn,Alphen aan den Rijn,"Alfen,Alphen,Alphen a/d Rijn,Alphen aan de Rijn,Alphen aan den Rijn,Alphen aan der Rijn",52.12917,4.65546,P,PPL,NL,,11.0,484.0,70251,,1,Europe/Amsterdam,2017-10-17
132,2759871,Alphen-Oosterwijk,Alphen-Oosterwijk,,51.50083,4.975,P,PPL,NL,,6.0,1723.0,0,,20,Europe/Amsterdam,2007-06-03
133,2759865,Altena,Altena,,53.1325,6.47778,P,PPL,NL,,1.0,1699.0,305,,5,Europe/Amsterdam,2017-03-24
134,2759862,Alteveer,Alteveer,,53.05083,6.99444,P,PPL,NL,,4.0,37.0,915,,3,Europe/Amsterdam,2017-10-17
135,2759863,Alteveer,Alteveer,,52.675,6.48611,P,PPL,NL,,1.0,1690.0,565,,13,Europe/Amsterdam,2017-10-17
136,2759861,Alteveer,Alteveer,,53.11167,6.43472,P,PPL,NL,,1.0,1699.0,0,,4,Europe/Amsterdam,2017-10-17
137,2759858,Altforst,Altforst,,51.84917,5.56528,P,PPL,NL,,3.0,668.0,0,,8,Europe/Amsterdam,2017-10-17
138,2759857,Alting,Alting,,52.86583,6.53889,P,PPL,NL,,1.0,1731.0,0,,12,Europe/Amsterdam,2007-06-03
139,2759855,Altweert,Altweert,,51.24048,5.68697,P,PPL,NL,,5.0,988.0,0,,38,Europe/Amsterdam,2009-01-10
140,2759854,Altweerterheide,Altweerterheide,,51.22083,5.67917,P,PPL,NL,,5.0,988.0,595,,33,Europe/Amsterdam,2017-03-24
141,2759853,Alverna,Alverna,,51.80417,5.75972,P,PPL,NL,,3.0,296.0,1595,,10,Europe/Amsterdam,2017-03-24
142,2759852,Alvershool,Alvershool,,51.48333,5.56528,P,PPL,NL,,6.0,820.0,0,,15,Europe/Amsterdam,2007-06-03
143,11395895,Ambt Delden,Ambt Delden,,52.27015,6.63969,P,PPL,NL,,15.0,1735.0,0,,11,Europe/Amsterdam,2017-10-17
144,2759850,Amby,Amby,"Ambij,Amie,amby,امبی",50.86215,5.73226,P,PPL,NL,,5.0,935.0,6535,,53,Europe/Amsterdam,2017-10-10
145,2759849,Ameide,Ameide,,51.955,4.9625,P,PPL,NL,,9.0,1961.0,3500,,0,Europe/Amsterdam,2021-08-31
146,2759838,Amen,Amen,,52.9425,6.61111,P,PPL,NL,,1.0,1680.0,80,,14,Europe/Amsterdam,2017-10-17
147,2759831,America,America,Amerika,51.43667,5.97917,P,PPL,NL,,5.0,1507.0,1175,,31,Europe/Amsterdam,2017-10-17
148,2759830,Amerika,Amerika,,53.09167,6.37083,P,PPL,NL,,1.0,1699.0,0,,9,Europe/Amsterdam,2007-06-03
149,2759828,Amerongen,Amerongen,"Ameron'chen,amrangn,Αμερόνχεν,امرانگن",52.0025,5.45972,P,PPL,NL,,9.0,1581.0,5085,,19,Europe/Amsterdam,2017-10-17
150,2759821,Amersfoort,Amersfoort,"Amersfoort,Amersfort,Amersforto,QYM,Амерсфорт",52.155,5.3875,P,PPL,NL,,9.0,307.0,139914,,8,Europe/Amsterdam,2019-01-14
151,2759816,Ammerssluis,Ammerssluis,,51.91667,4.81667,P,PPL,NL,,11.0,1978.0,0,,-2,Europe/Amsterdam,2019-01-20
152,2759815,Ammerstol,Ammerstol,,51.9275,4.80833,P,PPL,NL,,11.0,1931.0,1580,,-1,Europe/Amsterdam,2017-10-17
153,2759813,Ammerzoden,Ammerzoden,,51.74917,5.22083,P,PPL,NL,,3.0,263.0,3040,,3,Europe/Amsterdam,2017-10-17
154,2759811,Ampsen,Ampsen,Amsen,52.17,6.42917,P,PPL,NL,,3.0,262.0,0,,13,Europe/Amsterdam,2007-06-03
155,2759805,Amsteleind,Amsteleind,,51.76667,5.5,P,PPL,NL,,6.0,828.0,780,,7,Europe/Amsterdam,2017-03-24
156,2759804,Amstelhoek,Amstelhoek,,52.23083,4.83333,P,PPL,NL,,9.0,736.0,0,,0,Europe/Amsterdam,2017-10-17
157,2759798,Amstelveen,Amstelveen,"Amstelveen,Amstelven,Amstelveyn,Amstelvin,Nieuwer Amstel,a mu si te er fen,amseutelbein,amusuterufen,Амстелвен,Амстелвин,Ամստելվեյն,אמסטלפיין,آمستل‌فین,アムステルフェーン,阿姆斯特尔芬,암스텔베인",52.30083,4.86389,P,PPL,NL,,7.0,362.0,79639,,0,Europe/Amsterdam,2017-10-17
158,2759796,Amstenrade,Amstenrade,,50.93917,5.92361,P,PPL,NL,,5.0,1954.0,1740,,88,Europe/Amsterdam,2019-01-20
159,2759787,Amsterdamscheveld,Amsterdamscheveld,"Amsterdamsche Veld I,Amsterdamseveld",52.68833,6.91528,P,PPL,NL,,1.0,114.0,190,,17,Europe/Amsterdam,2017-03-24
160,2759783,Amsweer,Amsweer,,53.30833,6.90278,P,PPL,NL,,4.0,1979.0,0,,0,Europe/Amsterdam,2021-07-05
161,2750453,Andel,Andel,Andel,51.78333,5.05833,P,PPL,NL,,6.0,1959.0,2535,,3,Europe/Amsterdam,2021-08-30
162,2759781,Andelst,Andelst,,51.90833,5.72917,P,PPL,NL,,3.0,1734.0,2990,,10,Europe/Amsterdam,2017-10-17
163,2759778,Anderen,Anderen,,53.0,6.68611,P,PPL,NL,,1.0,1680.0,245,,14,Europe/Amsterdam,2017-10-17
164,2759775,Andijk,Andijk,"Andejk,Andijk,Andijk Oost,Andijk West,Andik,Andoik,Andyk,Андейк",52.74315,5.20821,P,PPL,NL,,7.0,420.0,0,,-2,Europe/Amsterdam,2023-04-20
165,2759774,Andijk,Andijk,Andijk Oost,52.74667,5.22222,P,PPL,NL,,7.0,420.0,0,,-1,Europe/Amsterdam,2012-04-14
166,2759772,Ane,Ane,,52.61417,6.65139,P,PPL,NL,,15.0,160.0,0,,11,Europe/Amsterdam,2017-10-17
167,2759771,Anerveen,Anerveen,,52.63167,6.65694,P,PPL,NL,,15.0,160.0,0,,9,Europe/Amsterdam,2017-10-17
168,2759770,Anevelde,Anevelde,,52.5975,6.65278,P,PPL,NL,,15.0,160.0,0,,9,Europe/Amsterdam,2017-10-17
169,2759765,Angeren,Angeren,,51.91583,5.95833,P,PPL,NL,,3.0,1705.0,2275,,10,Europe/Amsterdam,2017-10-17
170,2759764,Angerlo,Angerlo,,51.99583,6.13472,P,PPL,NL,,3.0,299.0,1130,,12,Europe/Amsterdam,2017-10-17
171,2759760,Anholt,Anholt,,52.77333,6.41667,P,PPL,NL,,1.0,1690.0,0,,13,Europe/Amsterdam,2007-06-03
